"","Var1","0","1","sum","no_of_zero"
"142","GREAVESCOT_true_false",0,0,0,NA
"143","GRINDWELL_true_false",0,0,0,NA
"144","GRSE_true_false",0,0,0,NA
"145","GSFC_true_false",0,0,0,NA
"146","GSPL_true_false",0,0,0,NA
"147","GUJALKALI_true_false",0,0,0,NA
"148","GUJGASLTD_true_false",0,0,0,NA
"149","GULFOILLUB_true_false",0,0,0,NA
"150","HAL_true_false",0,0,0,NA
"151","HATHWAY_true_false",0,0,0,NA
"152","HATSUN_true_false",0,0,0,NA
"153","HAVELLS_true_false",0,0,0,NA
"154","HCLTECH_true_false",0,0,0,NA
"155","HDFC_true_false",0,0,0,NA
"156","HDFCAMC_true_false",0,0,0,NA
"157","HDFCBANK_true_false",0,0,0,NA
"158","HDFCLIFE_true_false",0,0,0,NA
"159","HEG_true_false",0,0,0,NA
"160","HEIDELBERG_true_false",0,0,0,NA
"161","HERITGFOOD_true_false",0,0,0,NA
"162","HEROMOTOCO_true_false",0,0,0,NA
"163","HFCL_true_false",0,0,0,NA
"164","HINDALCO_true_false",0,0,0,NA
"165","HINDCOPPER_true_false",0,0,0,NA
"166","HINDPETRO_true_false",132,105,237,55.7
"167","HINDUNILVR_true_false",73,164,237,30.8
"168","HINDZINC_true_false",100,106,206,48.5
"169","HONAUT_true_false",46,161,207,22.2
"170","HSCL_true_false",87,64,151,57.6
"171","HUDCO_true_false",23,6,29,79.3
"172","IBREALEST_true_false",111,70,181,61.3
"173","IBULHSGFIN_true_false",34,41,75,45.3
"174","ICICIBANK_true_false",59,148,207,28.5
"175","ICICIGI_true_false",2,23,25,8
"176","ICICIPRULI_true_false",16,21,37,43.2
"177","ICRA_true_false",72,78,150,48
"178","IDBI_true_false",125,88,213,58.7
"179","IDEA_true_false",90,61,151,59.6
"180","IDFC_true_false",92,78,170,54.1
"181","IDFCFIRSTB_true_false",37,10,47,78.7
"182","IEX_true_false",10,14,24,41.7
"183","IFBIND_true_false",83,124,207,40.1
"184","IGL_true_false",55,135,190,28.9
"185","IIFL_true_false",81,92,173,46.8
"186","CUMMINSIND_true_false",82,125,207,39.6
"187","CYIENT_true_false",73,86,159,45.9
"188","DABUR_true_false",31,176,207,15
"189","DALBHARAT_true_false",4,6,10,40
"190","DBCORP_true_false",70,47,117,59.8
