"","Var1","0","1","sum","no_of_zero"
"1","SHREECEM_true_false",43,176,219,19.6
"2","SHRIRAMCIT_true_false",56,118,174,32.2
"3","SIEMENS_true_false",83,154,237,35
"4","SIS_true_false",20,6,26,76.9
"5","SJVN_true_false",50,63,113,44.2
"6","SKFINDIA_true_false",59,104,163,36.2
"7","SOBHA_true_false",83,71,154,53.9
"8","SOLARA_true_false",0,16,16,0
"9","SOLARINDS_true_false",47,115,162,29
"10","SONATSOFTW_true_false",73,134,207,35.3
"11","SOUTHBANK_true_false",105,132,237,44.3
"12","SPARC_true_false",65,82,147,44.2
"13","SPICEJET_true_false",2,0,2,100
"14","SRF_true_false",62,145,207,30
"15","SRTRANSFIN_true_false",74,133,207,35.7
"16","STAR_true_false",91,103,194,46.9
"17","STARCEMENT_true_false",21,7,28,75
"18","STLTECH_true_false",103,123,226,45.6
"19","SUDARSCHEM_true_false",34,87,121,28.1
"20","SUMICHEM_true_false",0,0,0,NA
"21","SUNDARMFIN_true_false",42,165,207,20.3
"22","SUNDRMFAST_true_false",88,119,207,42.5
"23","SUNPHARMA_true_false",72,165,237,30.4
"24","SUNTECK_true_false",79,40,119,66.4
"25","SUNTV_true_false",86,76,162,53.1
"26","SUPPETRO_true_false",79,128,207,38.2
"27","SUPRAJIT_true_false",62,90,152,40.8
"28","SUPREMEIND_true_false",33,174,207,15.9
"29","SUVENPHAR_true_false",0,0,0,NA
"30","SUZLON_true_false",126,42,168,75
"31","SWANENERGY_true_false",38,51,89,42.7
"32","SWARAJENG_true_false",61,146,207,29.5
"33","SWSOLAR_true_false",1,1,2,50
"34","SYMPHONY_true_false",34,66,100,34
"35","SYNGENE_true_false",9,41,50,18
"36","TASTYBITE_true_false",6,25,31,19.4
"37","TATACHEM_true_false",81,156,237,34.2
"38","TATACOFFEE_true_false",96,111,207,46.4
"39","TATACOMM_true_false",83,124,207,40.1
"40","TATACONSUM_true_false",6,22,28,21.4
"41","TATAELXSI_true_false",82,125,207,39.6
"42","TATAINVEST_true_false",75,139,214,35
"43","TATAMOTORS_true_false",94,143,237,39.7
"44","TATAMTRDVR_true_false",69,62,131,52.7
"45","TATAPOWER_true_false",107,130,237,45.1
"46","TATASTEEL_true_false",100,137,237,42.2
"47","TATASTLBSL_true_false",69,19,88,78.4
"48","TCIEXP_true_false",4,30,34,11.8
"49","TCNSBRANDS_true_false",13,2,15,86.7
"50","TCS_true_false",48,134,182,26.4
"51","TEAMLEASE_true_false",15,29,44,34.1
"52","TECHM_true_false",71,87,158,44.9
"53","THERMAX_true_false",78,129,207,37.7
"54","THYROCARE_true_false",27,14,41,65.9
"55","TIINDIA_true_false",3,20,23,13
"56","TIMKEN_true_false",54,98,152,35.5
"57","TITAN_true_false",53,184,237,22.4
"58","TORNTPHARM_true_false",46,161,207,22.2
"59","TORNTPOWER_true_false",71,84,155,45.8
"60","TRENT_true_false",55,152,207,26.6
"61","TRIDENT_true_false",98,109,207,47.3
"62","TTKPRESTIG_true_false",46,141,187,24.6
"63","TV18BRDCST_true_false",95,59,154,61.7
"64","TVSMOTOR_true_false",98,132,230,42.6
"65","TVTODAY_true_false",92,97,189,48.7
"66","UBL_true_false",46,79,125,36.8
"67","UCOBANK_true_false",130,62,192,67.7
"68","UFLEX_true_false",87,120,207,42
"69","UJJIVAN_true_false",29,12,41,70.7
"70","UJJIVANSFB_true_false",0,0,0,NA
"71","ULTRACEMCO_true_false",43,139,182,23.6
"72","UNIONBANK_true_false",115,90,205,56.1
"73","UPL_true_false",64,125,189,33.9
"74","VAIBHAVGBL_true_false",75,107,182,41.2
"75","VAKRANGEE_true_false",58,104,162,35.8
"76","VARROC_true_false",9,6,15,60
"77","VBL_true_false",3,32,35,8.6
"78","VENKEYS_true_false",89,118,207,43
"79","VGUARD_true_false",30,95,125,24
"80","VINATIORGA_true_false",21,102,123,17.1
"81","VIPIND_true_false",84,123,207,40.6
"82","VMART_true_false",28,52,80,35
"83","VOLTAS_true_false",61,146,207,29.5
"84","VRLLOG_true_false",41,13,54,75.9
"85","VSTIND_true_false",77,110,187,41.2
"86","VTL_true_false",78,129,207,37.7
"87","WABCOINDIA_true_false",39,86,125,31.2
"88","WELCORP_true_false",87,100,187,46.5
"89","WELSPUNIND_true_false",107,83,190,56.3
"90","WESTLIFE_true_false",0,2,2,0
"91","WHIRLPOOL_true_false",35,82,117,29.9
"92","WIPRO_true_false",104,133,237,43.9
"93","WOCKPHARMA_true_false",110,97,207,53.1
"94","YESBANK_true_false",65,106,171,38
"95","ZEEL_true_false",70,137,207,33.8
"96","ZENSARTECH_true_false",0,0,0,NA
"97","ZYDUSWELL_true_false",0,0,0,NA
"98","NA_true_false",0,0,0,NA
