final_date,AARTIIND_close,AARTIIND_low,AARTIIND_moving_avg,AARTIIND_true_false,AIAENG_close,AIAENG_low,AIAENG_moving_avg,AIAENG_true_false,ALKYLAMINE_close,ALKYLAMINE_low,ALKYLAMINE_moving_avg,ALKYLAMINE_true_false,ASIANPAINT_close,ASIANPAINT_low,ASIANPAINT_moving_avg,ASIANPAINT_true_false,ASTRAL_close,ASTRAL_low,ASTRAL_moving_avg,ASTRAL_true_false,ATUL_close,ATUL_low,ATUL_moving_avg,ATUL_true_false,BAJAJFINSV_close,BAJAJFINSV_low,BAJAJFINSV_moving_avg,BAJAJFINSV_true_false,BAJFINANCE_close,BAJFINANCE_low,BAJFINANCE_moving_avg,BAJFINANCE_true_false,COLPAL_close,COLPAL_low,COLPAL_moving_avg,COLPAL_true_false,CUB_close,CUB_low,CUB_moving_avg,CUB_true_false,DABUR_close,DABUR_low,DABUR_moving_avg,DABUR_true_false,DEEPAKNTR_close,DEEPAKNTR_low,DEEPAKNTR_moving_avg,DEEPAKNTR_true_false,DMART_close,DMART_low,DMART_moving_avg,DMART_true_false,GARFIBRES_close,GARFIBRES_low,GARFIBRES_moving_avg,GARFIBRES_true_false,HAVELLS_close,HAVELLS_low,HAVELLS_moving_avg,HAVELLS_true_false,HCLTECH_close,HCLTECH_low,HCLTECH_moving_avg,HCLTECH_true_false,HDFC_close,HDFC_low,HDFC_moving_avg,HDFC_true_false,HDFCBANK_close,HDFCBANK_low,HDFCBANK_moving_avg,HDFCBANK_true_false,HDFCLIFE_close,HDFCLIFE_low,HDFCLIFE_moving_avg,HDFCLIFE_true_false
31-03-2004,15.64,15.21,9.10075,1,NA,NA,NA,NA,NA,NA,NA,NA,30.15,29.95,26.01585,1,NA,NA,NA,NA,32.5,32.1,40.0575,0,910.85,872.15,664.7175,1,6.779693,6.565946,5.43750255,1,65.25,63.75,68.4825,0,4.148395,4.055274,2.85461265,1,13.34,12.675,9.41125,1,NA,NA,NA,NA,NA,NA,NA,NA,17,17,17.1575,0,2.743,2.731,2.04245,1,30.9625,30.375,25.03575,1,128.65,123.4,88.2283005,1,37.875,36.55,26.99475,1,NA,NA,NA,NA
27-02-2004,16.6,16.335,8.56525,1,NA,NA,NA,NA,NA,NA,NA,NA,30.115,29.45,25.6042,1,NA,NA,NA,NA,39.55,34.75,39.8075,0,905.55,889,NA,NA,6.690308,6.522224,5.30905955,1,71.625,71.075,68.5625,1,3.935118,3.87504,2.74196615,1,13.485,13.265,9.13125,1,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,2.971,2.944,1.9834,1,36.1375,33.75,NA,NA,121.94,121.07,84.9573005,1,37.465,36.425,26.16475,1,NA,NA,NA,NA
30-01-2004,15.87,15.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.25,32.01,NA,NA,NA,NA,NA,NA,44.3,43.55,NA,NA,999.05,801.4,NA,NA,7.094486,7.054651,NA,NA,74.625,72.65,NA,NA,4.169423,4.115352,NA,NA,14.065,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,3.214,3.173,NA,NA,37.9375,37.5,NA,NA,129.86,126.6,NA,NA,34.495,33.55,NA,NA,NA,NA,NA,NA
31-12-2003,18.86,18.675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.48,32.5,NA,NA,NA,NA,NA,NA,68.1,66.1,NA,NA,1136.3,1128,NA,NA,8.287588,8.163225,NA,NA,79.85,79.5,NA,NA,4.908384,4.866329,NA,NA,14.69,14.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,3.826,3.775,NA,NA,38.1825,36.9375,NA,NA,129.11,128.4,NA,NA,36.51,36.315,NA,NA,NA,NA,NA,NA
28-11-2003,12.435,12.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.955,30.555,NA,NA,NA,NA,NA,NA,55.25,50.65,NA,NA,981.85,944.55,NA,NA,7.245081,7.009958,NA,NA,69.55,69.275,NA,NA,3.250227,3.244219,NA,NA,11.315,11.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,2.832,2.819,NA,NA,33.67,33.4375,NA,NA,110.83,107.4,NA,NA,30.26,30,NA,NA,NA,NA,NA,NA
31-10-2003,13.39,13.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.44,27.3,NA,NA,NA,NA,NA,NA,38.65,38.3,NA,NA,918,896.2,NA,NA,6.08307,6.038377,NA,NA,68.85,68.55,NA,NA,3.28327,3.211176,NA,NA,10.785,10.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,2.737,2.663,NA,NA,27.11875,25.875,NA,NA,104,102,NA,NA,31.605,31.025,NA,NA,NA,NA,NA,NA
30-09-2003,12.955,12.105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.36,30.18,NA,NA,NA,NA,NA,NA,44.9,44.5,NA,NA,790.35,778.65,NA,NA,5.612824,5.607966,NA,NA,70.675,69.525,NA,NA,3.190149,3.124063,NA,NA,10.21,9.985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,2.524,2.5,NA,NA,21.56875,21.34375,NA,NA,99.74,97.41,NA,NA,27.5,27,NA,NA,NA,NA,NA,NA
29-08-2003,8.86,8.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.75,30.335,NA,NA,NA,NA,NA,NA,44.85,44.5,NA,NA,729.55,714,NA,NA,5.847947,5.723585,NA,NA,73.275,72.8,NA,NA,3.076001,3.063985,NA,NA,10.8,10.685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,2.231,2.213,NA,NA,23.13125,22.5,NA,NA,96.52,94,NA,NA,27.57,27.205,NA,NA,NA,NA,NA,NA
31-07-2003,9.445,9.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.567,26.133,NA,NA,NA,NA,NA,NA,49.85,49.8,NA,NA,638.55,600,NA,NA,5.262084,4.880252,NA,NA,73.2,72.05,NA,NA,3.6137,3.550618,NA,NA,9.49,9.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,1.963,1.956,NA,NA,20.425,20.25,NA,NA,82.61,80.4,NA,NA,26.535,26.3,NA,NA,NA,NA,NA,NA
30-06-2003,7,6.645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.31,25.147,NA,NA,NA,NA,NA,NA,56.45,54.3,NA,NA,573.1,562.5,NA,NA,5.377702,5.372844,NA,NA,68.825,68.675,NA,NA,2.763594,2.742567,NA,NA,7.96,7.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,1.395,1.389,NA,NA,19.30625,18.125,NA,NA,81.73,81.2,NA,NA,25.805,25,NA,NA,NA,NA,NA,NA
30-05-2003,5.46,5.415,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.177,25,NA,NA,NA,NA,NA,NA,40.6,40.3,NA,NA,512.75,501.1,NA,NA,5.346611,5.146465,NA,NA,66.25,66.075,NA,NA,2.865727,2.853711,NA,NA,7.45,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,1.389,1.363,NA,NA,15.43125,15.3625,NA,NA,74.24,73.02,NA,NA,24.51,24.405,NA,NA,NA,NA,NA,NA
30-04-2003,5.065,5.065,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.08,22,NA,NA,NA,NA,NA,NA,31.75,31.35,NA,NA,482.9,481.95,NA,NA,4.48579,4.418751,NA,NA,64.875,64,NA,NA,2.364075,2.361071,NA,NA,6.165,6.125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,1.374,1.313,NA,NA,16.86875,16.6375,NA,NA,68.06,65.21,NA,NA,24.7,24.18,NA,NA,NA,NA,NA,NA
31-03-2003,4.75,4.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,21.887,NA,NA,NA,NA,NA,NA,28,26.75,NA,NA,480,475,NA,NA,4.219577,4.174884,NA,NA,60.875,60.45,NA,NA,2.231903,2.189848,NA,NA,5.94,5.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,1.463,1.4,NA,NA,18.88125,18.65625,NA,NA,66.27,65.67,NA,NA,23.455,23.21,NA,NA,NA,NA,NA,NA
28-02-2003,4.895,4.895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.177,21.003,NA,NA,NA,NA,NA,NA,35,34,NA,NA,515.75,506,NA,NA,4.525625,4.401263,NA,NA,66.25,66,NA,NA,2.174828,2.108742,NA,NA,7.31,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,1.39,1.39,NA,NA,21.95,20.625,NA,NA,74.96,74.8,NA,NA,24.985,24.425,NA,NA,NA,NA,NA,NA
31-01-2003,5.265,5.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.73,21.667,NA,NA,NA,NA,NA,NA,32.55,30.8,NA,NA,513.4,511.25,NA,NA,4.303133,4.299247,NA,NA,67.45,66.625,NA,NA,2.054672,1.997598,NA,NA,7.565,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,1.433,1.389,NA,NA,20.2625,19.38125,NA,NA,75.02,74.42,NA,NA,23.71,22.65,NA,NA,NA,NA,NA,NA
31-12-2002,5.21,5.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.683,21.653,NA,NA,NA,NA,NA,NA,32.5,32.05,NA,NA,503.3,495.1,NA,NA,4.268156,4.192373,NA,NA,67.425,66.675,NA,NA,1.973567,1.958547,NA,NA,7.31,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,1.413,1.413,NA,NA,23.35625,23.25625,NA,NA,71.67001,71.1,NA,NA,21.605,21.1,NA,NA,NA,NA,NA,NA
29-11-2002,4.985,4.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.73,21.533,NA,NA,NA,NA,NA,NA,31.2,30.6,NA,NA,471.25,471.25,NA,NA,4.170026,4.170026,NA,NA,64.5,64.325,NA,NA,1.93752,1.877442,NA,NA,7.425,7.375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,1.413,1.413,NA,NA,23.375,23.375,NA,NA,68.43,68.11,NA,NA,19.505,19.485,NA,NA,NA,NA,NA,NA
31-10-2002,5.165,5.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.897,21.767,NA,NA,NA,NA,NA,NA,30.35,29.5,NA,NA,423.75,413,NA,NA,4.232207,3.673548,NA,NA,62.05,61.775,NA,NA,1.766297,1.760289,NA,NA,7.34,7.335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,17,NA,NA,1.438,1.438,NA,NA,20.41875,20.2625,NA,NA,62.756,62,NA,NA,18.99,18.855,NA,NA,NA,NA,NA,NA
30-09-2002,4.915,4.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.783,22.67,NA,NA,NA,NA,NA,NA,30.7,30.5,NA,NA,389.65,388.05,NA,NA,4.392518,4.392518,NA,NA,65.95,65.25,NA,NA,1.766297,1.748274,NA,NA,7.615,7.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,16.2,NA,NA,1.525,1.5,NA,NA,26.29375,25.79375,NA,NA,59.89,59.226,NA,NA,21.86,21.11,NA,NA,NA,NA,NA,NA
30-08-2002,5.25,5.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.683,22.6,NA,NA,NA,NA,NA,NA,34.1,34,NA,NA,418.45,409,NA,NA,4.525625,4.392518,NA,NA,68.3,67.75,NA,NA,1.619106,1.60709,NA,NA,7.965,7.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.15,19.5,NA,NA,1.575,1.519,NA,NA,25.4375,24.03125,NA,NA,58.28,56.8,NA,NA,20.955,20.905,NA,NA,NA,NA,NA,NA
31-07-2002,4.93,4.915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.917,20.133,NA,NA,NA,NA,NA,NA,27.5,25.05,NA,NA,NA,NA,NA,NA,4.210833,4.148651,NA,NA,66.85,66,NA,NA,1.895465,1.874438,NA,NA,7.74,7.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.562,1.556,NA,NA,NA,NA,NA,NA,63.23,56,NA,NA,21.275,20.93,NA,NA,NA,NA,NA,NA
